#      Train        Test
    0.496875        0.525 
    0.471875        0.475 
       0.475       0.4625 
    0.515625        0.475 
       0.525        0.475 
     0.50625          0.5 
     0.50625       0.4625 
     0.50625        0.475 
      0.5125        0.475 
     0.53125        0.475 
    0.540625       0.4875 
    0.521875        0.575 
     0.51875        0.475 
    0.496875       0.5625 
    0.540625        0.525 
    0.571875        0.475 
       0.525       0.5625 
    0.559375       0.4125 
    0.521875         0.55 
    0.584375          0.6 
     0.55625       0.5125 
        0.55         0.55 
    0.565625       0.4625 
    0.584375       0.5625 
     0.54375        0.475 
     0.55625         0.55 
     0.54375         0.55 
    0.603125        0.525 
       0.575         0.45 
     0.59375       0.4875 
    0.578125       0.5125 
    0.565625       0.4875 
     0.54375        0.525 
      0.5875       0.4375 
    0.596875        0.625 
    0.584375        0.475 
    0.584375          0.5 
     0.60625          0.5 
    0.609375       0.5125 
      0.5875       0.4875 
     0.60625       0.4625 
     0.60625        0.525 
    0.634375          0.5 
    0.528125        0.475 
    0.471875        0.525 
     0.49375        0.525 
     0.50625        0.475 
    0.490625          0.5 
    0.490625        0.525 
     0.53125          0.5 
      0.4875       0.5875 
    0.540625       0.5375 
    0.565625       0.5125 
    0.484375        0.525 
     0.51875       0.5125 
     0.50625       0.5375 
    0.553125        0.625 
     0.59375        0.575 
     0.55625          0.5 
     0.55625        0.525 
    0.546875         0.55 
    0.559375       0.5375 
      0.5875       0.5625 
       0.575       0.5375 
     0.58125       0.4875 
    0.609375          0.5 
     0.59375        0.475 
       0.575       0.4875 
     0.59375       0.5625 
    0.584375          0.5 
      0.5625       0.4625 
    0.590625       0.5125 
    0.584375          0.5 
     0.59375        0.525 
    0.596875       0.5375 
    0.603125       0.4375 
      0.5875       0.5625 
    0.634375         0.45 
    0.490625        0.525 
     0.58125         0.55 
       0.575       0.5625 
         0.6       0.4375 
       0.575         0.45 
    0.615625         0.45 
    0.653125        0.475 
      0.6125        0.525 
    0.609375          0.5 
     0.59375         0.45 
    0.609375       0.5125 
    0.596875          0.5 
         0.6       0.4875 
    0.640625        0.475 
      0.5875        0.475 
    0.596875        0.475 
    0.628125       0.4875 
     0.59375       0.5625 
    0.653125        0.575 
     0.63125         0.45 
      0.5875          0.5 
       0.625       0.5125 
     0.60625       0.4625 
    0.659375        0.575 
     0.64375       0.4625 
    0.603125       0.4875 
    0.628125       0.4375 
      0.6125          0.4 
     0.63125       0.4125 
      0.6375        0.425 
         0.6       0.5375 
     0.61875       0.4625 
    0.603125          0.5 
    0.634375       0.4375 
        0.65         0.45 
    0.646875       0.4625 
    0.646875       0.4875 
     0.63125        0.475 
     0.59375        0.475 
     0.65625       0.4375 
    0.703125       0.4875 
     0.64375       0.4625 
      0.6625         0.45 
     0.69375         0.45 
    0.665625       0.4875 
       0.675          0.5 
     0.69375       0.4375 
    0.703125          0.4 
     0.68125        0.475 
     0.70625        0.475 
    0.653125       0.4875 
    0.715625        0.525 
     0.69375          0.5 
      0.7625       0.4875 
    0.709375       0.5375 
     0.70625       0.4875 
      0.7375       0.4875 
     0.70625         0.55 
      0.7625         0.45 
    0.709375          0.5 
    0.759375         0.45 
     0.76875          0.5 
     0.76875       0.4875 
    0.740625       0.5875 
     0.73125       0.4625 
      0.7875        0.475 
      0.7625       0.5125 
    0.721875       0.4125 
    0.759375       0.4875 
    0.796875       0.4625 
    0.765625        0.425 
    0.709375          0.5 
    0.740625          0.5 
    0.784375        0.425 
      0.7875        0.425 
        0.75       0.4625 
    0.740625        0.525 
     0.74375         0.55 
      0.7875       0.4375 
      0.7625        0.475 
     0.78125       0.5375 
    0.771875       0.4375 
     0.79375       0.5625 
    0.809375       0.5125 
     0.73125       0.5375 
    0.771875       0.3875 
      0.7625         0.45 
    0.765625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
     0.50625        0.475 
