#      Train        Test
       11018      4.08163 
     3.57309      2.12998 
     2.24105      2.09267 
     2.22841      2.08915 
     2.21735      2.12802 
     2.21418      2.09423 
     2.21181      2.07537 
     2.20658       2.0816 
     2.22038      2.09106 
     2.18813      2.10117 
     2.18789       2.0885 
     2.19847      2.08931 
     2.20362      2.09521 
     2.18984      2.07333 
     2.18569      2.09994 
     2.17541      2.09827 
     2.18453      2.06744 
       2.196      2.11229 
     2.18116      2.08571 
     2.17413      2.06925 
     2.17103      2.10429 
     2.16639      2.07527 
     2.15531      2.08117 
     2.14224      2.06698 
     2.15516      2.09831 
     2.15476      2.07242 
      2.1527      2.08637 
     2.15723      2.06723 
     2.14457       2.0916 
     2.12589      2.09533 
     2.11379       2.2076 
      2.1252      2.17804 
     2.18363      2.07302 
     2.11351      2.08527 
      2.0734       2.0835 
     2.12014      2.14904 
     2.08718      2.18348 
     2.12638      2.59837 
      2.1163      2.16035 
     2.11396      2.14683 
     2.08074      2.20477 
     2.07073      2.22035 
     2.05691      2.22875 
     2.73023      2.17742 
      2.2513      2.08337 
     2.20987      2.07421 
     2.21491      2.08871 
      2.2149      2.08123 
     2.21263      2.06865 
     2.19241      2.08423 
     2.19886      2.08081 
     2.18706      2.06921 
     2.17501      2.07502 
     2.17996      2.06433 
     2.18294      2.07519 
     2.17284      2.07683 
     2.16633      2.06717 
      2.1546      2.06217 
      2.1598      2.07148 
     2.15678      2.12888 
     2.15572      2.11081 
      2.1293      2.10323 
     2.11107      2.31273 
     2.13942      2.17635 
      2.1283      2.21138 
     2.11579      2.10954 
     2.12588      2.31867 
     2.10572      2.60623 
     2.13785      2.11423 
     2.11898      2.13873 
       2.142      2.11448 
     2.10759       2.1836 
     2.10953      2.13373 
     2.06858      2.31227 
     2.07427      2.47667 
      2.0613      2.18694 
     2.08555       2.1416 
     2.04054       2.3359 
     2.44773       2.0751 
     2.18109      2.08342 
     2.17157      2.07037 
     2.15587      2.10967 
      2.1429      2.11937 
     2.14017      2.12277 
     2.12772      2.11429 
     2.12743      2.11821 
     2.12992      2.14708 
     2.11141      2.11106 
      2.1102      2.09644 
     2.10699      2.10819 
     2.09982      2.16535 
     2.07116       2.3509 
     2.11546       2.1575 
     2.07875       2.3549 
     2.07906      2.40317 
     2.05778      2.16835 
     2.02213      2.13373 
     2.02723      2.35919 
     2.09252      2.15956 
     2.03119      2.28606 
     2.09881      2.13258 
     2.01122      2.14894 
     2.00452      2.56977 
      2.0653      2.12123 
     2.02352      2.23587 
     2.02246      2.29202 
      2.0002      2.33417 
      1.9869       2.3859 
     2.04984      2.30075 
     1.92927      2.32267 
     2.04885      2.30335 
     1.95293      2.19887 
     1.96038      2.52448 
     1.96397      2.52479 
     1.92029      2.75892 
      1.9734      2.31963 
     2.06646      2.46442 
     1.95389      2.46065 
     1.86446      2.80523 
     1.95458       2.6894 
     1.86501      2.77744 
      1.8828       2.5279 
     1.87671      2.47052 
     1.82459      2.88521 
     1.82255      3.85865 
     1.90755      2.73498 
     1.82381      2.55829 
     1.74454      2.89342 
     1.90061      2.46406 
     1.78507      2.38812 
     1.79026      2.49315 
     1.59272       2.9591 
     1.72927      2.42406 
     1.77727      2.66556 
     1.66049      2.77733 
     1.75918        2.397 
     1.65681      2.84044 
     1.75235       2.3605 
     1.57883      2.66165 
     1.63591      2.76812 
     1.63007      2.54892 
     1.63261       2.6044 
     1.66658      2.66733 
      1.4747      4.22629 
     1.58552      2.68385 
     1.61141      3.00975 
     1.59111      3.24598 
     1.49062      3.21392 
     1.49198      3.22329 
     1.80474      2.50723 
     1.60132      2.57835 
     1.46755      3.25513 
     1.57326      2.83681 
     1.79336      3.37369 
      1.6921      2.61808 
     1.59839      2.59994 
     1.51757       2.7314 
     1.49411        3.354 
     1.49363      2.76994 
     1.53182      3.09181 
     1.46034      2.72592 
      1.3939      3.04856 
     1.73133      2.44796 
     1.58414      2.86954 
     1.50994      2.53042 
      7.8965      6.16667 
     6.16667      6.16667 
     6.16667      6.16667 
     6.16667      6.16667 
     4.73359      4.29354 
     4.10395      4.29325 
     4.10456      4.27733 
     4.10992      4.26869 
     4.09424       4.2795 
     4.07933      4.34492 
     4.07398      4.28238 
     4.06489      4.30996 
     4.06159      4.30044 
     4.06198      4.40785 
     4.05641      4.38063 
     4.06098      4.49842 
      4.0445      4.60892 
      4.0465      4.37808 
     4.02166      4.48879 
     4.02794      4.42852 
     4.03433      4.34681 
     4.01055      4.40313 
      4.0039      4.34413 
     4.00191       4.4139 
     4.00786      4.38538 
     3.99098      4.37117 
     3.98785      4.43573 
     5.24897      6.16667 
     6.16667      6.16667 
     6.16667      6.16667 
     6.16667      6.16667 
     6.16667      6.16667 
     6.16667      6.16667 
     6.16667      6.16667 
     6.16667      6.16667 
